Ano	Mes	SLuis	teresina	fortaleza	natal	JPessoa	recife	maceio	aracaju	salvador
1976	8	21,6	1,3	24,3	49,1	79,6	61,1	98,4	61,7	142,4
1976	9	10,6	9,4	4,9	13,8	21,7	31,4	49,4	45,5	54,3
1976	10	3,2	39,4	12,4	40,9	94,7	149,2	282,8	142,6	185,1
1976	11	0	111,8	21	18,9	10,3	48,5	90,7	92,4	93,3
1976	12	91	43,9	10,7	75,1	96,3	129,4	101,3	44,8	15
1977	1	359,1	397,7	225,2	99,8	122,9	74,2	47,8	96,7	153,7
1977	2	240,9	262,6	154,6	30,9	110,2	136,5	240,8	91,8	178,5
1977	3	374	261,7	251,1	171	66,8	182,2	90,2	68,3	64,3
1977	4	470,4	229,2	340,6	139,9	206,7	223,1	221	291,3	233,7
1977	5	226	120,4	195,6	73,5	245,7	297	706,1	477,4	431,6
1977	6	218,1	82,3	499,3	539,9	458,6	412,5	539,3	151,2	274,2
1977	7	78,4	0	217,8	241	299,2	523,8	403,4	209,7	131,2
1977	8	15,4	1,5	36	34,9	71,9	133,5	148,9	93,4	20,3
1977	9	3,9	4,4	6,7	17,1	84	95,3	204,1	89,5	231
1977	10	0	17,4	19,4	11,6	23,4	109,4	206,2	178,3	238,5
1977	11	0	11,3	3,1	11,7	15,2	20,4	8,9	6,5	8,9
1977	12	39,6	129,2	2,7	26,4	18,7	52,5	72,1	108,4	321,7
1978	1	173,5	140	78,3	8,4	27,5	36	6,1	7,6	53,7
1978	2	152,9	156,2	283,5	143,9	123,3	232,7	214,9	276,3	41,2
1978	3	381,6	248,5	199,3	100,6	250,4	283,7	176	174,7	240,3
1978	4	438,4	186,7	238,1	260,8	456,8	446,5	297,6	142,4	261,3
1978	5	307,7	145,1	208,7	118	251,7	260,9	456,3	289,8	357
1978	6	185	4,9	79,2	118,8	241,1	300,7	304,8	100,5	458,3
1978	7	205,1	88,6	225,9	193,3	517,1	505,6	365,4	317,2	240,2
1978	8	21,6	1,7	10	51,3	171,8	210,6	217	152,5	114,5
1978	9	10,6	1,7	33,9	40	134,9	291,3	308,6	42,2	129,1
1978	10	3,2	34,2	22,9	34,6	58,2	46,6	31,7	6,3	143,7
1978	11	0	178,6	5,6	20,6	99,8	60,2	22,1	10,7	78,4
1978	12	91	127,7	53,9	57,8	58,3	69,2	95,4	64,8	163,2
1979	1	284,8	82	70,1	46,4	36,6	79,2	46,8	16,3	126,4
1979	2	208,1	150,6	103,2	68,5	104,8	132,9	135,7	54,2	201,2
1979	3	368,9	158,6	261,4	28,3	100,4	145,3	280	107,4	60,6
1979	4	321,1	86,4	92,6	95,2	202,3	163,9	415,1	363,3	299,1
1979	5	404,2	155,9	264,6	251,2	340,3	313,8	255,5	97,5	125,1
1979	6	84,3	30,1	77,9	113,1	282,3	418,4	278	199	284,1
1979	7	162,5	0	7,4	66,3	171,1	230,1	191,5	108,3	187,3
1979	8	14,7	50,6	52	62,6	218	127,9	54	72	73,6
1979	9	66,2	54	48,2	46,1	202,9	251,4	123,7	97,7	27,6
1979	10	1,3	1,7	4,1	9,1	18	39,9	35,2	17,2	23,2
1979	11	37,1	50,9	11,3	18,9	38,6	65,2	24,2	125,2	109,3
1979	12	9,1	71,1	16,3	12,2	15,5	24,8	2,2	19,4	47,8
1980	1	276,7	145,6	176,7	66,7	75,4	59,8	33,3	70,3	186,1
1980	2	824,7	429,3	442,8	270,4	250,1	369,8	247,2	288,1	364,2
1980	3	379,2	124,3	179	136,2	359,6	354,6	213,3	107	70,2
1980	4	445,6	96,6	56,9	56,6	209,6	152,4	89,6	19,9	79,9
1980	5	219,8	83	44,4	148,6	279	224,4	136	41,2	197,4
1980	6	213,8	3,3	72,6	119	291,2	456,3	357,8	137	146,7
1980	7	87,6	18,9	53,2	175	170,5	140,7	151,1	139,4	128,3
1980	8	8,5	0,1	29,7	75,7	77,3	99,7	103,3	32,2	168,9
1980	9	11,2	25,5	22,7	59,6	66,1	95,2	119,5	46,1	157,3
1980	10	0	4,9	16,4	8,4	117,1	130,4	171,3	79,7	89
1980	11	1,7	85,4	7,2	26,8	39,4	102,8	80,3	34,4	306,8
1980	12	2,1	44,8	8,9	21,4	29	67,2	44,2	19	54,7
1981	1	75,9	316,4	94,7	20,4	45,5	195,5	88,8	23,9	54,8
1981	2	161,5	21,5	110,8	203,6	163,7	134,2	57,8	54,4	94,3
1981	3	350,3	250,5	530,7	183,7	287	153,9	210,4	190,1	197,4
1981	4	265	55,7	140,3	102,8	35,4	108,5	64,4	229,6	246,3
1981	5	372,3	17,9	123,3	99,9	359,1	219,9	185	55,7	203,3
1981	6	82	0	33,4	128,5	166,8	231	134,6	175,2	268
1981	7	71,6	0	0	40,9	171,6	135	150,6	96,9	194,7
1981	8	0,7	0	6,3	12	56,7	107,8	116	78,7	63,3
1981	9	0	0	0,2	14,1	78,3	113,6	41,8	40,9	19,6
1981	10	0	4,8	0,3	11,5	17,5	27,5	14,2	1,8	40,9
1981	11	0	8	7,4	8,3	24,8	45,6	16,4	61,7	46,1
1981	12	139,5	54,4	55,5	92,2	74,1	181,9	156,6	39,2	60,7
1982	1	302	91,7	77	11,6	55,4	211	61,8	61,5	19,6
1982	2	477,1	194,5	113,1	174,3	151,7	151,1	144,2	64,8	149,2
1982	3	356,6	170,8	190,7	105,5	80,1	89,4	61,8	22,8	11,3
1982	4	458,6	338,6	242,2	70	143,2	101,5	476	204,8	424,1
1982	5	146,2	16,8	124,5	228,6	401,3	353,7	501	229,8	333,6
1982	6	119,9	1,8	81,2	142,8	258,1	412,9	192	257,4	345,4
1982	7	12,6	0	60,2	165,4	255,2	306,4	247,4	146,7	152
1982	8	19,7	0	21,8	67,3	274,4	176,5	157	114,9	87,8
1982	9	8,6	0	20,2	35,4	119,2	206,9	166,6	83,8	133,9
1982	10	2,1	19	49,6	56	4,1	18,9	0	95	105,7
1982	11	11,6	34	3,1	46,7	25,9	16,2	0	6,7	17,2
1982	12	1,7	56,4	21,3	21,3	30,6	41,3	6,6	14,2	23,1
1983	1	21,7	61,5	23,7	37,8	57,5	112,2	17,4	6,9	27
1983	2	243	363,2	165,7	54,5	236,7	338,5	141,4	135,9	96,4
1983	3	156,3	316,6	299,3	153,9	145,3	413,2	186,8	41,2	227,2
1983	4	246,9	63,7	138	115,8	91,1	83,1	92,8	105,5	186,1
1983	5	49,1	7,6	79,4	124,4	147,4	183,3	184,2	49,4	63,1
1983	6	76,8	0,6	115,9	74,6	167	141,3	135,2	69,5	324,5
1983	7	2,5	0	48,8	30,4	105,7	226,7	151	139,3	103,5
1983	8	1,4	0,2	20,6	112,2	98,8	161,2	110,6	111,1	186,8
1983	9	0	0	5,7	15,4	43,4	42,7	19,8	11	92
1983	10	2,4	4,8	12,3	23,9	52,1	112,1	97,8	23,9	127,5
1983	11	1,2	61,6	0,5	3,1	3,7	13,1	4	38,1	106,3
1983	12	83,1	54,1	59,4	8,8	7,5	24,5	0	19,6	45,8
1984	1	205,9	202,8	118,5	54,8	115,2	96,1	41,6	27,9	44,5
1984	2	324,1	221,6	213,7	55	64,6	63,1	0	8,9	29,7
1984	3	534,2	282,9	374,1	232,8	116,7	119,9	93,4	145,2	217,3
1984	4	638,8	526,1	343,3	444,7	535,9	620,2	217	364,1	889,8
1984	5	454,5	198,1	445	530	484	521,6	332	179,3	356,3
1984	6	131,8	7,2	249	249	168,1	265,4	186,2	87,4	219,3
1984	7	85,8	2,6	141,6	138,9	346,3	598,3	484	97,1	130,6
1984	8	58	78,3	78,2	162,2	269,7	375,7	299,8	44,8	134
1984	9	17,5	50,3	27,5	69,1	46,8	79,3	111	119,3	206,6
1984	10	28,1	23,7	44,4	48,9	97,9	84,5	60,8	72,6	111,3
1984	11	13,2	41	0,9	14,7	25,1	27,8	4,4	32	37,2
1984	12	58,5	59,8	9,3	19	5,6	10,3	0	3,7	27
1985	1	503,7	447,7	194	144,2	60	67,2	4,8	8,4	119,3
1985	2	689,6	392,7	465,3	326,8	179,1	102,5	250,2	265,9	99,1
1985	3	796,9	363,4	490,6	358,6	653,6	266,4	135,8	121	71
1985	4	849,2	491,7	430,9	176,6	393	385,7	384	395	869
1985	5	407	238,4	307,1	353,7	436,7	436,3	83,2	291	381,1
1985	6	266,3	74,2	235,6	201,8	395,8	352	209,4	293,9	167,4
1985	7	288,8	32,6	150	396,1	671,7	572,8	427,1	232,1	223,4
1985	8	22,6	10,5	23,1	181,3	138,3	136,3	318,9	101,6	157,4
1985	9	11,7	7,8	44,4	127,6	82,6	92	96,6	108,1	66,2
1985	10	0,3	24,5	0,3	1,4	0,7	17,4	2,8	5,2	111,5
1985	11	2,6	84,3	11,5	19,9	18,8	31,8	14	19,6	252
1985	12	204	289	213,6	23,3	27,8	53,1	43,8	12,7	183,2
1986	1	343,4	82,8	143,7	52,5	43,9	47,5	52,3	69,3	93,1
1986	2	328	111,5	324,9	259,1	148,4	212,1	39,4	150,7	30,8
1986	3	732,4	316	566,3	288,3	386,2	521,4	271,5	320,8	274,4
1986	4	749,2	316,9	276,7	642,4	378	444	307,4	184,3	428,5
1986	5	172,4	61,5	186,4	354,2	338,4	574,8	238,5	376,3	249
1986	6	225,3	24,8	276,9	317,1	534,8	584,1	396,2	98,7	197,4
1986	7	155,6	0,8	24	112,5	236,8	472	391,8	165,2	140,4
1986	8	21,4	0,5	24	194,4	318,4	356,1	246,4	88,7	153,8
1986	9	23,2	5,4	31,1	81	204,5	216,9	119,8	140,7	234
1986	10	37,8	67,2	14,3	57,3	49,1	59,4	193	215,5	272,3
1986	11	1,2	18,6	36,2	127,7	130	220,8	142,4	210,4	163,5
1986	12	33,3	112,1	65,8	41,1	36,2	147,7	129,6	50,3	106,2
1987	1	104,5	180,3	52,2	26,4	38,2	50,5	104,8	100,3	21
1987	2	277,8	183,6	134,2	78,9	110,6	196	63,6	91,7	61,9
1987	3	689,2	437,7	363,8	246,8	299,7	475,8	222,6	132,8	130
1987	4	183,5	150,7	204,6	277,7	369,6	323	230,8	234,1	147,2
1987	5	333,4	28,6	40	87,3	131,6	136,6	95,4	108	218,9
1987	6	130,8	37,1	321,4	347,1	383,2	466	246	209	227,5
1987	7	32,5	0,3	69,3	290,7	434,5	421,4	254,4	298,4	238,7
1987	8	53,2	0,8	7,7	37,9	47	130,5	145,7	148,4	111,5
1987	9	0	4,2	12,6	50,8	56,3	81	21,4	63,5	102,3
1987	10	28	61,5	15,5	20,7	33,5	168,9	40,8	0	14,8
1987	11	0	25	1,1	15,5	7	12,2	1	6,4	224,6
1987	12	0,3	57,5	4,1	4,4	1,5	12,4	12,8	10,7	44,7
1988	1	364,5	176,3	250,2	18,9	36,4	65,4	28,7	43,8	169,8
